상품명,카테고리,가격,실제가격,추천 성별,추천 연령대,추천 관계,추천 취미,추천 성격,추천 이벤트,이미지URL,구매링크
미니멀 북유럽풍 러그,리빙/인테리어,5~10만원,66300,여성,20대 후반,"부모님, 형제자매","커피, 게임","로맨틱, 감성적",화이트데이,,
꿀 선물세트,식품/커피,10만원 이상,123600,남성,20대 후반,"배우자, 친구, 부모님","영화, 게임",로맨틱,입학,,
잼 선물세트,식품/커피,1만원 이하,5700,남성,20대 초반,배우자,"커피, 패션",감성적,"집들이, 감사선물",,
데일리 립밤 세트,뷰티,5~10만원,70800,남성,10대,부모님,"요리, 운동",감성적,집들이,,
시그니처 자전거 라이트 세트,취미/레저,1~3만원,20600,상관없음,20대 후반,선생님,"게임, 운동",감성적,화이트데이,,
프리미엄 향수,뷰티,5~10만원,92600,남성,20대 후반,"연인, 부모님, 형제자매","운동, 패션","활동적, 실용적",승진,,
데일리 곡물 선물세트,식품/커피,1만원 이하,3200,여성,30대,부모님,"운동, 뷰티",모험심 강함,"화이트데이, 특별한 이유 없음",,
데일리 헤어트리트먼트 세트,뷰티,5~10만원,74400,여성,40대 이상,"기타, 부모님, 배우자","운동, 여행","SNS 좋아함, 로맨틱",입학,,
미니멀 블루투스 이어폰,디지털/IT,5~10만원,65200,여성,20대 후반,"기타, 부모님",요리,"활동적, 모험심 강함",승진,,
데일리 가죽 여권지갑,패션잡화,1만원 이하,8300,상관없음,20대 초반,"배우자, 선생님","게임, 독서",트렌디함,기념일,,
프리미엄 아이크림,뷰티,3~5만원,42400,남성,30대,"부모님, 썸, 형제자매",요리,"실용적, 감성적",생일,,
클래식 디자인 향초,뷰티,5~10만원,72300,여성,40대 이상,"친구, 선생님",캠핑,"트렌디함, 유머러스","승진, 기념일",,
미니멀 극세사 담요,리빙/인테리어,5~10만원,84200,남성,10대,"형제자매, 연인",게임,"감성적, 차분함","기념일, 생일",,
휴대용 모니터,디지털/IT,1~3만원,21900,여성,40대 이상,"연인, 직장동료","패션, 요리","SNS 좋아함, 감성적",감사선물,,
곶감 선물세트,식품/커피,5~10만원,96400,상관없음,20대 초반,"썸, 기타","뷰티, 독서",활동적,"특별한 이유 없음, 크리스마스",,
극세사 담요,리빙/인테리어,1~3만원,12100,남성,20대 후반,"연인, 직장동료, 썸","뷰티, 여행",감성적,"취업, 발렌타인데이",,
시그니처 캔버스 토트백,패션잡화,10만원 이상,118600,여성,20대 초반,"형제자매, 연인, 부모님","패션, 운동",트렌디함,"기념일, 취업",,
클래식 보드게임 세트,취미/레저,1~3만원,19700,상관없음,30대,썸,"패션, 여행","유머러스, 집순이/집돌이","입학, 생일",,
프리미엄 라탄 수납바구니,리빙/인테리어,5~10만원,73200,여성,20대 후반,선생님,"캠핑, 음악","집순이/집돌이, 감성적","기념일, 발렌타인데이",,
미니멀 아이섀도 팔레트,뷰티,1만원 이하,7800,여성,10대,기타,"음악, 캠핑",유머러스,입학,,
데일리 보조배터리,디지털/IT,3~5만원,36400,여성,20대 후반,"배우자, 연인, 선생님",독서,감성적,"특별한 이유 없음, 취업",,
딸기청 세트,식품/커피,10만원 이상,148100,여성,40대 이상,배우자,운동,감성적,생일,,
프리미엄 건강즙 세트,식품/커피,1만원 이하,3800,상관없음,20대 후반,"연인, 배우자, 친구",캠핑,"활동적, 차분함","취업, 생일",,
미니 향수 세트,뷰티,1만원 이하,3300,남성,10대,형제자매,뷰티,"유머러스, 트렌디함","특별한 이유 없음, 크리스마스",,
프리미엄 캔버스 에코백,리빙/인테리어,1만원 이하,3200,상관없음,20대 초반,직장동료,게임,"로맨틱, 실용적",특별한 이유 없음,,
독서대,문구/데스크테리어,5~10만원,62200,상관없음,20대 초반,"기타, 친구, 직장동료","운동, 사진",집순이/집돌이,"생일, 발렌타인데이",,
시그니처 휴대용 가습기,디지털/IT,1만원 이하,4400,상관없음,20대 후반,선생님,"음악, 패션","모험심 강함, 트렌디함","생일, 화이트데이",,
프리미엄 미니 빔스크린,디지털/IT,1만원 이하,8900,상관없음,20대 후반,"선생님, 연인, 친구",커피,모험심 강함,"취업, 집들이",,
미니멀 캠핑 침낭,취미/레저,3~5만원,34200,상관없음,20대 후반,"배우자, 형제자매",게임,"집순이/집돌이, 유머러스","입학, 기념일",,
가죽 여권지갑,패션잡화,3~5만원,37900,남성,10대,"배우자, 부모님, 기타","요리, 게임",유머러스,특별한 이유 없음,,
스마트 워치,디지털/IT,1만원 이하,6900,상관없음,20대 후반,"형제자매, 부모님, 선생님",운동,실용적,발렌타인데이,,
프리미엄 데스크 오거나이저,문구/데스크테리어,1~3만원,12600,여성,10대,"선생님, 배우자, 부모님","요리, 음악","집순이/집돌이, 실용적","승진, 생일",,
클래식 형광펜 세트,문구/데스크테리어,3~5만원,47500,여성,20대 초반,"부모님, 형제자매","사진, 캠핑",유머러스,"기념일, 승진",,
편지지 세트,문구/데스크테리어,3~5만원,38800,여성,10대,"배우자, 연인, 기타","여행, 사진","차분함, 실용적",화이트데이,,
데일리 가죽 키케이스,패션잡화,1~3만원,26900,상관없음,40대 이상,연인,사진,활동적,"승진, 기념일",,
극세사 발매트,리빙/인테리어,5~10만원,75900,여성,40대 이상,친구,"요리, 운동","모험심 강함, 실용적","입학, 감사선물",,
미니멀 약과 선물세트,식품/커피,1~3만원,10300,여성,30대,형제자매,운동,"모험심 강함, 차분함",취업,,
데일리 유기농 차 세트,식품/커피,3~5만원,42500,남성,20대 후반,"부모님, 친구",음악,"모험심 강함, 트렌디함",특별한 이유 없음,,
시그니처 극세사 발매트,리빙/인테리어,1만원 이하,4900,여성,20대 후반,배우자,독서,차분함,"기념일, 화이트데이",,
인테리어 액자,리빙/인테리어,3~5만원,48700,남성,20대 초반,"형제자매, 부모님",독서,"집순이/집돌이, 활동적","특별한 이유 없음, 기념일",,
클래식 바디미스트,뷰티,5~10만원,81500,상관없음,30대,"연인, 기타",음악,차분함,"생일, 취업",,
데일리 캔버스 백팩,패션잡화,5~10만원,92200,여성,10대,"선생님, 기타, 썸","음악, 캠핑",유머러스,집들이,,
프리미엄 클립보드 세트,문구/데스크테리어,1만원 이하,4100,상관없음,10대,"선생님, 직장동료, 기타","영화, 뷰티",차분함,"승진, 집들이",,
시그니처 전통차 세트,식품/커피,10만원 이상,124900,여성,20대 초반,선생님,뷰티,"트렌디함, 로맨틱",생일,,
시그니처 탁상시계,문구/데스크테리어,1~3만원,24500,상관없음,30대,"직장동료, 연인","영화, 음악","SNS 좋아함, 유머러스","특별한 이유 없음, 취업",,
데일리 독서대,문구/데스크테리어,3~5만원,38600,남성,40대 이상,선생님,여행,"유머러스, 활동적","발렌타인데이, 특별한 이유 없음",,
시그니처 수분크림 세트,뷰티,10만원 이상,187100,상관없음,40대 이상,형제자매,"운동, 요리",실용적,"발렌타인데이, 특별한 이유 없음",,
클래식 접이식 캠핑 테이블,취미/레저,5~10만원,67400,여성,20대 후반,배우자,"뷰티, 사진","감성적, 실용적","특별한 이유 없음, 크리스마스",,
클래식 북유럽풍 러그,리빙/인테리어,1~3만원,24200,여성,40대 이상,"형제자매, 부모님","요리, 뷰티","유머러스, SNS 좋아함",입학,,
프리미엄 디자인 다이어리,문구/데스크테리어,1~3만원,12100,여성,30대,"직장동료, 썸, 선생님",독서,"집순이/집돌이, 유머러스","크리스마스, 감사선물",,
데일리 캡슐커피 세트,식품/커피,10만원 이상,150000,남성,10대,부모님,뷰티,SNS 좋아함,기념일,,
시그니처 북엔드 세트,리빙/인테리어,1~3만원,26500,여성,30대,배우자,"커피, 독서",집순이/집돌이,발렌타인데이,,
시그니처 미니 공기청정기,디지털/IT,1~3만원,21400,여성,20대 초반,"직장동료, 연인, 친구",독서,"실용적, 집순이/집돌이","특별한 이유 없음, 크리스마스",,
패브릭 포스터,리빙/인테리어,5~10만원,54700,여성,20대 후반,"친구, 부모님","패션, 뷰티",트렌디함,"생일, 감사선물",,
프리미엄 가죽 노트커버,문구/데스크테리어,1만원 이하,8100,남성,30대,선생님,사진,"트렌디함, 모험심 강함","발렌타인데이, 생일",,
프리미엄 북엔드 세트,리빙/인테리어,1~3만원,17800,남성,20대 후반,"형제자매, 썸, 직장동료",음악,"집순이/집돌이, 모험심 강함","감사선물, 취업",,
미니멀 디퓨저 리필 세트,리빙/인테리어,10만원 이상,148400,상관없음,40대 이상,"배우자, 직장동료, 친구","커피, 뷰티",집순이/집돌이,"입학, 승진",,
미니멀 자전거 헬멧,취미/레저,10만원 이상,143500,남성,20대 초반,선생님,게임,로맨틱,화이트데이,,
미니멀 뷰티 디바이스,뷰티,5~10만원,68000,상관없음,20대 초반,직장동료,음악,"유머러스, 트렌디함",집들이,,
시그니처 형광펜 세트,문구/데스크테리어,1만원 이하,6400,남성,20대 초반,"부모님, 연인, 썸",커피,활동적,승진,,
클래식 미니 드론,취미/레저,5~10만원,61800,남성,20대 초반,"기타, 부모님",요리,"트렌디함, 감성적","화이트데이, 승진",,
프리미엄 마스크팩 세트,뷰티,5~10만원,66100,상관없음,20대 후반,"형제자매, 선생님",영화,"유머러스, 로맨틱",크리스마스,,
미니 텐트,취미/레저,5~10만원,59800,상관없음,20대 후반,"썸, 기타",독서,"트렌디함, 감성적",화이트데이,,
시그니처 미니 화이트보드,문구/데스크테리어,1만원 이하,6500,남성,40대 이상,"친구, 직장동료, 형제자매",커피,"유머러스, 집순이/집돌이",입학,,
클래식 견과류 선물세트,식품/커피,1~3만원,12500,여성,20대 초반,기타,"게임, 독서","로맨틱, 유머러스",화이트데이,,
가죽 노트커버,문구/데스크테리어,5~10만원,86200,남성,20대 후반,"기타, 연인","요리, 영화","SNS 좋아함, 실용적",생일,,
러닝 암밴드,취미/레저,5~10만원,82600,남성,20대 후반,"친구, 직장동료","음악, 캠핑",로맨틱,"졸업, 생일",,
시그니처 서핑보드 왁스,취미/레저,1만원 이하,4300,여성,10대,직장동료,"사진, 커피",유머러스,"승진, 특별한 이유 없음",,
서핑보드 왁스,취미/레저,5~10만원,79300,여성,30대,선생님,패션,차분함,"졸업, 기념일",,
시그니처 초콜릿 선물세트,식품/커피,3~5만원,42200,상관없음,20대 후반,썸,사진,"트렌디함, 집순이/집돌이",특별한 이유 없음,,
미니멀 비치발리볼 세트,취미/레저,1~3만원,14700,남성,10대,직장동료,"여행, 독서","차분함, 실용적",기념일,,
클래식 핸드드립 세트,식품/커피,1만원 이하,9100,남성,30대,"부모님, 선생님, 친구",독서,"SNS 좋아함, 활동적",취업,,
디자인 머그컵 세트,리빙/인테리어,10만원 이상,141000,남성,20대 후반,"선생님, 직장동료","커피, 여행",모험심 강함,"특별한 이유 없음, 취업",,
캠핑 쿨러백,취미/레저,1만원 이하,3600,상관없음,20대 초반,"썸, 직장동료, 선생님",독서,"활동적, 유머러스",감사선물,,
캔버스 토트백,패션잡화,1~3만원,24400,남성,30대,형제자매,"사진, 영화","집순이/집돌이, SNS 좋아함",졸업,,
캔버스 에코백,리빙/인테리어,1만원 이하,8300,남성,10대,연인,"여행, 운동","트렌디함, 감성적","집들이, 입학",,
프리미엄 독서대,문구/데스크테리어,3~5만원,49800,상관없음,40대 이상,"연인, 부모님, 기타","패션, 영화","집순이/집돌이, 차분함",승진,,
데일리 말차 세트,식품/커피,1만원 이하,8700,여성,10대,"친구, 형제자매, 부모님","캠핑, 여행",활동적,발렌타인데이,,
데일리 웹캠,디지털/IT,5~10만원,65600,남성,20대 후반,직장동료,뷰티,트렌디함,"크리스마스, 입학",,
울 장갑 세트,패션잡화,3~5만원,45600,상관없음,20대 후반,"연인, 배우자, 선생님",커피,감성적,입학,,
프리미엄 가죽 여권지갑,패션잡화,5~10만원,82000,여성,30대,"썸, 부모님, 친구",독서,활동적,크리스마스,,
메탈 자 세트,문구/데스크테리어,5~10만원,58000,상관없음,20대 후반,배우자,"패션, 커피","차분함, 모험심 강함",졸업,,
폴딩 낚시의자,취미/레저,1~3만원,20400,상관없음,10대,배우자,"독서, 캠핑","감성적, 활동적",취업,,
시그니처 미니 포토프린터,디지털/IT,1~3만원,17400,여성,20대 후반,부모님,"독서, 요리",모험심 강함,"크리스마스, 입학",,
프리미엄 보드게임 세트,취미/레저,3~5만원,37300,상관없음,40대 이상,"친구, 형제자매",요리,"로맨틱, 실용적",기념일,,
클래식 인테리어 식물,리빙/인테리어,10만원 이상,180600,남성,20대 후반,"배우자, 선생님",여행,"유머러스, 차분함","기념일, 감사선물",,
프리미엄 스무디 키트,식품/커피,3~5만원,40800,남성,30대,기타,영화,"SNS 좋아함, 감성적","크리스마스, 화이트데이",,
프리미엄 가죽 벨트,패션잡화,10만원 이상,166300,남성,30대,"배우자, 친구","패션, 뷰티",모험심 강함,특별한 이유 없음,,
클래식 헤어 에센스,뷰티,10만원 이상,184600,상관없음,20대 초반,"배우자, 기타","독서, 요리","실용적, 로맨틱",기념일,,
만년필 세트,문구/데스크테리어,10만원 이상,181100,남성,10대,"기타, 썸, 친구","패션, 커피","집순이/집돌이, SNS 좋아함",취업,,
클래식 디자인 벽시계,리빙/인테리어,10만원 이상,144900,여성,20대 후반,연인,사진,로맨틱,집들이,,
시그니처 가죽 벨트,패션잡화,3~5만원,47600,상관없음,40대 이상,직장동료,커피,모험심 강함,졸업,,
데일리 크로스백,패션잡화,1~3만원,16900,여성,20대 후반,"친구, 기타, 썸","커피, 독서",실용적,"집들이, 감사선물",,
시그니처 바디미스트,뷰티,3~5만원,41200,여성,40대 이상,"친구, 배우자, 선생님","영화, 게임","집순이/집돌이, 유머러스",감사선물,,
데일리 미니 다트보드,취미/레저,1~3만원,28800,상관없음,10대,"부모님, 연인, 친구","캠핑, 독서",로맨틱,기념일,,
클래식 울 비니,패션잡화,5~10만원,51300,여성,40대 이상,"연인, 부모님","운동, 요리",활동적,"졸업, 감사선물",,
가죽 팔찌,패션잡화,1만원 이하,6400,남성,40대 이상,"직장동료, 기타, 썸","뷰티, 영화",차분함,특별한 이유 없음,,
식탁매트 세트,리빙/인테리어,10만원 이상,178100,남성,20대 초반,"기타, 썸",게임,감성적,생일,,
시그니처 무선 충전 마우스패드,디지털/IT,10만원 이상,193800,여성,40대 이상,"형제자매, 직장동료, 연인","음악, 요리",감성적,"졸업, 생일",,
데일리 등산 스틱 가방,취미/레저,3~5만원,46200,상관없음,10대,"배우자, 선생님, 형제자매","사진, 독서","감성적, 집순이/집돌이",집들이,,
시그니처 캔들워머 세트,리빙/인테리어,3~5만원,32300,여성,30대,기타,"여행, 커피","집순이/집돌이, 차분함","기념일, 발렌타인데이",,
미니멀 스탬프 세트,문구/데스크테리어,1~3만원,20400,남성,40대 이상,"기타, 부모님, 배우자",패션,"집순이/집돌이, 로맨틱","승진, 졸업",,
샤워코롱 세트,뷰티,1~3만원,14100,남성,30대,"연인, 기타",패션,"실용적, 로맨틱","입학, 발렌타인데이",,
데일리 와인 1병,식품/커피,1만원 이하,9300,상관없음,30대,"형제자매, 직장동료","음악, 게임","차분함, 유머러스","발렌타인데이, 크리스마스",,
데일리 디자인 벽시계,리빙/인테리어,5~10만원,91600,상관없음,20대 후반,"선생님, 형제자매",패션,"집순이/집돌이, 차분함",생일,,
미니 포토프린터,디지털/IT,1~3만원,18000,상관없음,20대 초반,"연인, 기타, 배우자",운동,유머러스,기념일,,
디자인 코스터 세트,리빙/인테리어,1~3만원,26800,여성,20대 초반,"직장동료, 기타","커피, 음악","활동적, 차분함",감사선물,,
